,date,open,high,low,close
228,2022-11-15 07:00:00,16751.34000000,16946.32000000,16744.77000000,16844.63000000
229,2022-11-15 08:00:00,16845.34000000,16989.00000000,16805.89000000,16921.32000000
230,2022-11-15 09:00:00,16920.56000000,16953.94000000,16731.58000000,16797.92000000
231,2022-11-15 10:00:00,16797.92000000,16888.00000000,16757.00000000,16883.12000000
232,2022-11-15 11:00:00,16883.12000000,16969.02000000,16708.31000000,16781.62000000
233,2022-11-15 12:00:00,16783.27000000,16889.09000000,16730.00000000,16835.31000000
234,2022-11-15 13:00:00,16835.31000000,17134.69000000,16823.00000000,17012.53000000
235,2022-11-15 14:00:00,17014.31000000,17014.31000000,16815.08000000,16937.71000000
236,2022-11-15 15:00:00,16936.50000000,17088.00000000,16880.00000000,16987.03000000
237,2022-11-15 16:00:00,16988.07000000,17071.43000000,16918.71000000,17009.37000000
238,2022-11-15 17:00:00,17010.28000000,17069.87000000,16967.04000000,16999.24000000
239,2022-11-15 18:00:00,16999.24000000,17013.08000000,16640.21000000,16734.53000000
240,2022-11-15 19:00:00,16733.00000000,16878.83000000,16614.61000000,16858.77000000
241,2022-11-15 20:00:00,16858.77000000,16939.99000000,16736.47000000,16839.81000000
242,2022-11-15 21:00:00,16839.81000000,16929.98000000,16778.21000000,16911.12000000
243,2022-11-15 22:00:00,16911.10000000,16913.56000000,16844.39000000,16880.49000000
244,2022-11-15 23:00:00,16880.49000000,16904.76000000,16835.58000000,16900.57000000
245,2022-11-16 00:00:00,16900.57000000,16935.39000000,16765.64000000,16786.29000000
246,2022-11-16 01:00:00,16787.44000000,16860.63000000,16777.00000000,16859.19000000
247,2022-11-16 02:00:00,16859.19000000,17015.92000000,16822.43000000,16941.96000000
248,2022-11-16 03:00:00,16943.00000000,16982.60000000,16917.15000000,16969.99000000
249,2022-11-16 04:00:00,16970.87000000,16979.22000000,16892.00000000,16909.42000000
250,2022-11-16 05:00:00,16910.06000000,16957.56000000,16877.04000000,16922.11000000
251,2022-11-16 06:00:00,16922.11000000,16939.88000000,16796.20000000,16866.23000000
252,2022-11-16 07:00:00,16866.62000000,16907.22000000,16821.89000000,16824.69000000
253,2022-11-16 08:00:00,16824.69000000,16850.27000000,16697.15000000,16789.84000000
254,2022-11-16 09:00:00,16789.84000000,16807.05000000,16670.43000000,16744.33000000
